channel_type,row_index,이름,회원수,등록일,주소,조회수,결과,메모,이메일 주소,전화번호,홈페이지 주소,삭제일,본분교,학제,지역,설립구분,우편번호,학교명(영문),학교홈페이지,총장명,"학교대표
번호","학교대표
팩스번호",담당연락처,언론/과학문화 담당,대표전화
플랫폼서비스,0,태스크,1077.0,2025. 1. 1.,https://aifactory.space/task/9197/overview,123674.0,https://aifactory.space/task/9197/overview,,,,,,,,,,,,,,,,,,
플랫폼서비스,1,사전설명회 - 온라인,1800.0,2025. 1. 1.,https://www.youtube.com/watch?v=mFDCHinLJ9k,2300.0,https://www.youtube.com/watch?v=mFDCHinLJ9k,,,,,,,,,,,,,,,,,,
플랫폼서비스,2,사전설명회 - 오프라인,,,,,,,,,,,,,,,,,,,,,,,
플랫폼서비스,3,회원 메일링,3628.0,2025. 1. 1.,,3628.0,,,,,,,,,,,,,,,,,,,
플랫폼서비스,4,배너,,2025. 1. 1.,,,https://aifactory.space/,,,,,,,,,,,,,,,,,,
플랫폼서비스,5,팝업창,,2025. 1. 1.,,,https://aifactory.space/,,,,,,,,,,,,,,,,,,
플랫폼서비스,6,유튜브 - 티저영상,,2025. 1. 1.,,,,,,,,,,,,,,,,,,,,,
플랫폼서비스,7,페이스북 페이지 (카드뉴스),,2025. 1. 1.,https://www.facebook.com/aifactory.space,,https://www.facebook.com/aifactory.space,,,,,,,,,,,,,,,,,,
플랫폼서비스,8,인스타그램 (카드뉴스),,2025-11-07 00:00:00,,,,,,,,,,,,,,,,,,,,,
플랫폼서비스,9,스레드 (카드뉴스),,2025. 1. 1.,,,,,,,,,,,,,,,,,,,,,
플랫폼서비스,10,X (구 트위터) (카드뉴스),,2025. 1. 1.,,,,,,,,,,,,,,,,,,,,,
플랫폼서비스,11,보도자료 - 개최,,2025. 1. 1.,,,,,,,,,,,,,,,,,,,,,
플랫폼서비스,12,보도자료 - 종료,,2025. 1. 1.,,,,,,,,,,,,,,,,,,,,,
정부기관,0,소통24,,2025. 9. 1.,https://sotong.go.kr,148.0,https://sotong.go.kr/front/epilogue/epilogueNewViewPage.do?bbs_id=109685c9417242ff94e9401c7b34a880&pagetype=bbs&search_result=&search_result_cnddt=&epilogue_bgnde=&epilogue_endde=&date_range=all&epilogue_bgnde_cnddt=&epilogue_endde_cnddt=&date_range_cnddt=all&search_title_contents=&search_insttNm=&miv_pageNo=1&preDate=&endDate=,,,,,,,,,,,,,,,,,,
정부기관,1,온나라,,2025. 9. 1.,,,,,,,,,,,,,,,,,,,,,
정부기관,2,행정안전부 하모니,,2025. 9. 1.,,,,,,,,,,,,,,,,,,,,,
공모전,0,스펙토리,,2025. 1. 1.,https://www.spectory.net/contest/share?uid=56460,,https://www.spectory.net/contest/share?uid=56460,,,,,,,,,,,,,,,,,,
공모전,1,씽굿,,2025. 1. 1.,https://www.thinkcontest.com/thinkgood/user/educate/view.do?querystr=rSW3rryZv7-Ml0u2sExn_IEyKBxQFlYA4cseY26X3X8,53.0,https://www.thinkcontest.com/thinkgood/user/educate/view.do?querystr=rSW3rryZv7-Ml0u2sExn_IEyKBxQFlYA4cseY26X3X8,,,,,,,,,,,,,,,,,,
공모전,2,씽유,,2025. 1. 1.,https://thinkyou.co.kr/contest/sector_view.asp?idx=58274,2175.0,https://thinkyou.co.kr/contest/sector_view.asp?idx=58274,,,,,,,,,,,,,,,,,,
공모전,3,온오프믹스,,2025. 1. 1.,https://onoffmix.com/event/331962,0.0,https://onoffmix.com/event/331962,,,,,,,,,,,,,,,,,,
공모전,4,올콘,,2025. 1. 1.,https://www.all-con.co.kr/view/contest/530626?page=1&sortname=cl_order&sortorder=asc&stx=%EB%94%A5%ED%8E%98%EC%9D%B4%ED%81%AC,1125.0,https://www.all-con.co.kr/view/contest/530626?page=1&sortname=cl_order&sortorder=asc&stx=%EB%94%A5%ED%8E%98%EC%9D%B4%ED%81%AC,,,,,,,,,,,,,,,,,,
공모전,5,요즘것들,,2025. 1. 1.,https://www.allforyoung.com/posts/72178,0.0,https://www.allforyoung.com/posts/72178,,,,,,,,,,,,,,,,,,
공모전,6,이벤터스,,2025. 1. 1.,https://event-us.kr/maycan/event/113610,0.0,https://event-us.kr/maycan/event/113610,,,,,,,,,,,,,,,,,,
